"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1972/1973","Manitoba","2016A000246","Births","Persons","249","units ","0","v391081","8.1","16990","","","","0"
"1972/1973","Manitoba","2016A000246","Deaths","Persons","249","units ","0","v391096","8.2","8236","","","","0"
"1972/1973","Manitoba","2016A000246","Immigrants","Persons","249","units ","0","v391111","8.3","5352","","","","0"
"1972/1973","Manitoba","2016A000246","Emigrants","Persons","249","units ","0","v29768554","8.9","2387","","","","0"
"1972/1973","Manitoba","2016A000246","Returning emigrants","Persons","249","units ","0","v29768555","8.10","1388","","","","0"
"1972/1973","Manitoba","2016A000246","Net interprovincial migration","Persons","249","units ","0","v391140","8.5","-5489","","","","0"
"1972/1973","Manitoba","2016A000246","Net non-permanent residents","Persons","249","units ","0","v29768557","8.12","237","","","","0"
"1972/1973","Manitoba","2016A000246","Residual deviation","Persons","249","units ","0","v53437079","8.8","2149","","","","0"
"1972/1973","Saskatchewan","2016A000247","Births","Persons","249","units ","0","v391082","9.1","15280","","","","0"
"1972/1973","Saskatchewan","2016A000247","Deaths","Persons","249","units ","0","v391097","9.2","7591","","","","0"
"1972/1973","Saskatchewan","2016A000247","Immigrants","Persons","249","units ","0","v391112","9.3","1555","","","","0"
"1972/1973","Saskatchewan","2016A000247","Emigrants","Persons","249","units ","0","v29768558","9.9","1197","","","","0"
"1972/1973","Saskatchewan","2016A000247","Returning emigrants","Persons","249","units ","0","v29768559","9.10","723","","","","0"
"1972/1973","Saskatchewan","2016A000247","Net interprovincial migration","Persons","249","units ","0","v391141","9.5","-16524","","","","0"
"1972/1973","Saskatchewan","2016A000247","Net non-permanent residents","Persons","249","units ","0","v29768561","9.12","137","","","","0"
"1972/1973","Saskatchewan","2016A000247","Residual deviation","Persons","249","units ","0","v53437080","9.8","1226","","","","0"
"1972/1973","Alberta","2016A000248","Births","Persons","249","units ","0","v391083","10.1","29596","","","","0"
"1972/1973","Alberta","2016A000248","Deaths","Persons","249","units ","0","v391098","10.2","10750","","","","0"
"1972/1973","Alberta","2016A000248","Immigrants","Persons","249","units ","0","v391113","10.3","9300","","","","0"
"1972/1973","Alberta","2016A000248","Emigrants","Persons","249","units ","0","v29768562","10.9","7887","","","","0"
"1972/1973","Alberta","2016A000248","Returning emigrants","Persons","249","units ","0","v29768563","10.10","4412","","","","0"
"1972/1973","Alberta","2016A000248","Net interprovincial migration","Persons","249","units ","0","v391142","10.5","5498","","","","0"
"1972/1973","Alberta","2016A000248","Net non-permanent residents","Persons","249","units ","0","v29768565","10.12","681","","","","0"
"1972/1973","Alberta","2016A000248","Residual deviation","Persons","249","units ","0","v53437081","10.8","-387","","","","0"
"1972/1973","British Columbia","2016A000259","Births","Persons","249","units ","0","v391071","11.1","34598","","","","0"
"1972/1973","British Columbia","2016A000259","Deaths","Persons","249","units ","0","v391086","11.2","17921","","","","0"
"1972/1973","British Columbia","2016A000259","Immigrants","Persons","249","units ","0","v391101","11.3","22570","","","","0"
"1972/1973","British Columbia","2016A000259","Emigrants","Persons","249","units ","0","v29768566","11.9","8354","","","","0"
"1972/1973","British Columbia","2016A000259","Returning emigrants","Persons","249","units ","0","v29768567","11.10","4590","","","","0"
"1972/1973","British Columbia","2016A000259","Net interprovincial migration","Persons","249","units ","0","v391130","11.5","27193","","","","0"
"1972/1973","British Columbia","2016A000259","Net non-permanent residents","Persons","249","units ","0","v29768569","11.12","778","","","","0"
"1972/1973","British Columbia","2016A000259","Residual deviation","Persons","249","units ","0","v53437082","11.8","-1731","","","","0"
"1972/1973","Yukon","2016A000260","Births","Persons","249","units ","0","v391072","12.1","461","","","","0"
"1972/1973","Yukon","2016A000260","Deaths","Persons","249","units ","0","v391087","12.2","93","","","","0"
"1972/1973","Yukon","2016A000260","Immigrants","Persons","249","units ","0","v391102","12.3","124","","","","0"
"1972/1973","Yukon","2016A000260","Emigrants","Persons","249","units ","0","v29768570","12.9","86","","","","0"
"1972/1973","Yukon","2016A000260","Returning emigrants","Persons","249","units ","0","v29768571","12.10","44","","","","0"
"1972/1973","Yukon","2016A000260","Net interprovincial migration","Persons","249","units ","0","v391131","12.5","458","","","","0"
"1972/1973","Yukon","2016A000260","Net non-permanent residents","Persons","249","units ","0","v29768573","12.12","10","","","","0"
"1972/1973","Yukon","2016A000260","Residual deviation","Persons","249","units ","0","v53437083","12.8","-87","","","","0"
"1972/1973","Northwest Territories including Nunavut","","Births","Persons","249","units ","0","v391073","13.1","1176","","","t","0"
"1972/1973","Northwest Territories including Nunavut","","Deaths","Persons","249","units ","0","v391088","13.2","260","","","t","0"
"1972/1973","Northwest Territories including Nunavut","","Immigrants","Persons","249","units ","0","v391103","13.3","224","","","t","0"
"1972/1973","Northwest Territories including Nunavut","","Emigrants","Persons","249","units ","0","v29768574","13.9","31","","","t","0"
"1972/1973","Northwest Territories including Nunavut","","Returning emigrants","Persons","249","units ","0","v29768575","13.10","18","","","t","0"
